Date,Open,High,Low,Close,Adj Close,Volume
2021-02-25,390.410004,391.880005,380.779999,382.329987,377.300629,146670500
2021-02-26,384.350006,385.579987,378.230011,380.359985,375.356537,152701600
2021-03-01,385.589996,390.920013,380.570007,389.579987,384.455292,105348800
2021-03-02,389.820007,390.070007,386.000000,386.540009,381.455292,79595300
2021-03-03,385.790009,386.829987,381.309998,381.420013,376.402618,119940200
2021-03-04,381.220001,384.000000,371.880005,376.700012,371.744720,183433000
2021-03-05,380.459991,384.760010,372.640015,383.630005,378.583557,152039600
2021-03-08,384.660004,387.679993,381.420013,381.720001,376.698669,123149200
2021-03-09,385.850006,389.910004,385.309998,387.170013,382.076996,113633600
2021-03-10,389.690002,391.399994,388.170013,389.579987,384.455292,109899400
2021-03-11,392.230011,395.649994,391.739990,393.529999,388.353302,86245000
2021-03-12,392.070007,394.209991,391.200012,394.059998,388.876343,64653600
2021-03-15,394.329987,396.690002,392.029999,396.410004,391.195435,73427200
2021-03-16,397.070007,397.829987,395.079987,395.910004,390.702026,73722500
2021-03-17,394.529999,398.119995,393.299988,397.260010,392.034271,97959300
2021-03-18,394.480011,396.720001,390.750000,391.480011,386.330292,115349100
2021-03-19,389.880005,391.570007,387.149994,389.480011,385.615479,113624500
2021-03-22,390.029999,394.070007,389.970001,392.589996,388.694580,73778600
2021-03-23,391.910004,393.459991,388.660004,389.500000,385.635284,90686600
2021-03-24,391.000000,392.750000,387.470001,387.519989,383.674896,97588600
2021-03-25,385.980011,390.549988,383.899994,389.700012,385.833282,116128600
2021-03-26,390.929993,396.410004,390.290009,395.980011,392.050964,114409100
2021-03-29,394.399994,396.750000,392.809998,395.779999,391.852966,108107600
2021-03-30,394.420013,395.450012,393.019989,394.730011,390.813385,76262200
2021-03-31,395.339996,398.000000,395.309998,396.329987,392.397491,112734200
2021-04-01,398.399994,400.670013,398.179993,400.609985,396.635010,99682900
2021-04-05,403.459991,406.940002,403.380005,406.359985,402.327942,91684800
2021-04-06,405.760010,407.239990,405.399994,406.119995,402.090363,62021000
2021-04-07,405.940002,406.959991,405.450012,406.589996,402.555664,55836300
2021-04-08,407.929993,408.579987,406.929993,408.519989,404.466522,57863100
